id,categoria,segmento,edad,nivel_educativo,estado_civil,Genero,PAC,contrato,estrato,grupo_edad
1,B,Segmento_Medio,31,tecnico_tecnologico,soltero,F,1,4,,26-35
2,C,Segmento_Medio,38,tecnico_tecnologico,soltero,M,1,1,,36-45
3,A,Segemnto_Basico,42,primaria,soltero,M,3,3,,36-45
4,B,Segmento_Medio,60,tecnico_tecnologico,soltero,M,1,4,,56-65
5,C,Segmento_Alto,27,tecnico_tecnologico,separado,M,1,1,,26-35
6,A,Segemnto_Basico,31,primaria,casado,F,3,2,,26-35
7,C,Segmento_Medio,26,primaria,casado,F,3,3,,26-35
8,A,Segemnto_Basico,34,primaria,viudo,F,3,3,,26-35
9,A,Segemnto_Basico,61,secundaria,separado,M,2,1,,56-65
10,B,Segmento_Medio,59,tecnico_tecnologico,separado,M,1,3,,56-65
11,B,Segmento_Medio,57,tecnico_tecnologico,separado,F,1,3,,56-65
12,A,Segemnto_Basico,43,primaria,soltero,M,3,1,,36-45
13,A,Segemnto_Basico,37,primaria,casado,M,3,3,,36-45
14,B,Segmento_Medio,56,secundaria,soltero,M,2,4,,56-65
15,A,Segemnto_Basico,33,primaria,soltero,F,3,3,,26-35
16,B,Segmento_Medio,45,tecnico_tecnologico,soltero,F,1,4,,36-45
17,B,Segmento_Joven,22,tecnico_tecnologico,soltero,F,1,4,,18-25
18,B,Segmento_Medio,39,tecnico_tecnologico,soltero,F,1,2,,36-45
19,C,Segmento_Medio,65,tecnico_tecnologico,casado,M,1,3,,56-65
20,B,Segmento_Medio,21,tecnico_tecnologico,viudo,F,1,2,,18-25
21,C,Segmento_Medio,60,primaria,casado,M,3,3,,56-65
22,C,Segmento_Medio,30,tecnico_tecnologico,soltero,F,1,4,,26-35
23,B,Segmento_Medio,38,tecnico_tecnologico,viudo,F,1,3,,36-45
24,A,Segemnto_Basico,50,primaria,soltero,F,3,3,1.0,46-55
25,C,Segmento_Medio,38,primaria,casado,M,3,4,2.0,36-45
26,C,Segmento_Medio,58,tecnico_tecnologico,viudo,F,1,4,3.0,56-65
27,C,Segmento_Alto,24,tecnico_tecnologico,viudo,M,1,2,1.0,18-25
28,B,Segmento_Medio,23,tecnico_tecnologico,viudo,M,1,3,4.0,18-25
29,A,Segemnto_Basico,54,primaria,separado,F,3,3,2.0,46-55
30,A,Segemnto_Basico,57,primaria,soltero,M,3,1,2.0,56-65
31,A,Segemnto_Basico,47,primaria,soltero,F,3,4,1.0,46-55
32,B,Segmento_Medio,43,secundaria,soltero,F,2,3,5.0,36-45
33,B,Segmento_Medio,31,tecnico_tecnologico,casado,M,1,3,4.0,26-35
34,C,Segmento_Medio,29,tecnico_tecnologico,soltero,M,1,3,5.0,26-35
35,B,Segmento_Medio,37,secundaria,separado,F,2,2,1.0,36-45
36,B,Segmento_Medio,26,tecnico_tecnologico,soltero,F,1,3,1.0,26-35
37,A,Segemnto_Basico,44,primaria,viudo,F,3,1,1.0,36-45
38,A,Segemnto_Basico,52,primaria,soltero,M,3,3,1.0,46-55
39,A,Segmento_Medio,19,primaria,separado,F,3,4,3.0,18-25
40,C,Segmento_Medio,40,tecnico_tecnologico,casado,F,1,2,,36-45
41,C,Segmento_Medio,64,tecnico_tecnologico,separado,M,1,4,4.0,56-65
42,C,Segmento_Alto,59,tecnico_tecnologico,viudo,M,1,3,4.0,56-65
43,C,Segmento_Medio,61,tecnico_tecnologico,separado,M,1,3,1.0,56-65
44,B,Segmento_Medio,44,tecnico_tecnologico,soltero,F,1,1,3.0,36-45
45,B,Segmento_Medio,65,tecnico_tecnologico,soltero,M,1,2,5.0,56-65
46,B,Segmento_Medio,34,tecnico_tecnologico,soltero,F,1,4,4.0,26-35
47,C,Segmento_Medio,60,tecnico_tecnologico,viudo,F,1,3,4.0,56-65
48,A,Segemnto_Basico,43,primaria,soltero,F,3,1,1.0,36-45
49,A,Segemnto_Basico,46,primaria,soltero,F,3,1,1.0,46-55
50,A,Segemnto_Basico,58,primaria,viudo,F,3,3,1.0,56-65
51,A,Segemnto_Basico,39,primaria,casado,M,3,1,2.0,36-45
52,B,Segmento_Medio,51,tecnico_tecnologico,separado,F,1,1,3.0,46-55
53,B,Segmento_Medio,29,tecnico_tecnologico,separado,M,1,1,4.0,26-35
54,A,Segemnto_Basico,43,primaria,viudo,F,3,3,1.0,36-45
55,A,Segemnto_Basico,48,primaria,soltero,M,3,2,1.0,46-55
56,A,Segemnto_Basico,58,primaria,soltero,M,3,1,1.0,56-65
57,B,Segmento_Medio,30,tecnico_tecnologico,casado,M,1,4,4.0,26-35
58,A,Segemnto_Basico,37,primaria,casado,F,3,3,1.0,36-45
59,C,Segmento_Medio,27,tecnico_tecnologico,soltero,M,1,1,,26-35
60,B,Segmento_Medio,58,tecnico_tecnologico,soltero,M,1,1,4.0,56-65
61,C,Segmento_Medio,57,tecnico_tecnologico,casado,M,1,3,,56-65
62,C,Segmento_Medio,38,tecnico_tecnologico,separado,F,1,3,,36-45
63,C,Segmento_Alto,34,tecnico_tecnologico,casado,M,1,3,5.0,26-35
64,C,Segmento_Medio,43,tecnico_tecnologico,soltero,F,1,3,,36-45
65,C,Segmento_Medio,40,tecnico_tecnologico,soltero,M,1,3,1.0,36-45
66,A,Segemnto_Basico,46,primaria,soltero,F,3,2,1.0,46-55
67,A,Segemnto_Basico,65,primaria,soltero,F,3,3,1.0,56-65
68,B,Segmento_Medio,25,secundaria,casado,F,2,1,4.0,18-25
69,C,Segmento_Medio,40,tecnico_tecnologico,viudo,M,1,1,4.0,36-45
70,C,Segmento_Medio,46,primaria,separado,F,3,1,1.0,46-55
71,C,Segmento_Alto,53,tecnico_tecnologico,separado,M,1,3,4.0,46-55
72,A,Segemnto_Basico,46,primaria,separado,F,3,4,1.0,46-55
73,A,Segemnto_Basico,33,primaria,separado,F,3,4,2.0,26-35
74,C,Segmento_Medio,51,tecnico_tecnologico,separado,M,1,3,4.0,46-55
75,B,Segmento_Medio,61,tecnico_tecnologico,soltero,F,1,4,3.0,56-65
76,C,Segmento_Medio,56,tecnico_tecnologico,soltero,F,1,3,4.0,56-65
77,C,Segmento_Medio,62,primaria,soltero,F,3,2,,56-65
78,B,Segmento_Medio,41,tecnico_tecnologico,casado,M,1,2,5.0,36-45
79,C,Segmento_Medio,43,primaria,soltero,F,3,1,1.0,36-45
80,A,Segemnto_Basico,46,primaria,soltero,F,3,1,3.0,46-55
81,A,Segemnto_Basico,47,primaria,soltero,M,3,4,1.0,46-55
82,B,Segmento_Medio,40,tecnico_tecnologico,viudo,M,1,4,5.0,36-45
83,C,Segmento_Medio,52,primaria,separado,F,3,3,1.0,46-55
84,C,Segmento_Medio,27,tecnico_tecnologico,separado,M,1,4,5.0,26-35
85,B,Segmento_Medio,49,tecnico_tecnologico,soltero,F,1,4,3.0,46-55
86,B,Segmento_Medio,49,tecnico_tecnologico,soltero,F,1,1,1.0,46-55
87,B,Segmento_Medio,46,tecnico_tecnologico,soltero,M,1,2,3.0,46-55
88,B,Segmento_Medio,42,tecnico_tecnologico,viudo,M,1,1,4.0,36-45
89,C,Segmento_Medio,50,tecnico_tecnologico,soltero,M,1,2,3.0,46-55
90,B,Segmento_Medio,36,tecnico_tecnologico,viudo,M,1,1,5.0,36-45
91,C,Segmento_Medio,56,tecnico_tecnologico,soltero,M,1,2,5.0,56-65
92,B,Segmento_Medio,28,tecnico_tecnologico,soltero,F,1,2,5.0,26-35
93,B,Segmento_Medio,45,tecnico_tecnologico,soltero,F,1,3,3.0,36-45
94,A,Segemnto_Basico,30,primaria,casado,M,3,4,1.0,26-35
95,C,Segmento_Medio,45,tecnico_tecnologico,soltero,M,1,3,1.0,36-45
96,B,Segmento_Medio,50,tecnico_tecnologico,soltero,M,1,4,2.0,46-55
97,A,Segemnto_Basico,50,primaria,soltero,F,3,3,2.0,46-55
98,C,Segmento_Medio,51,tecnico_tecnologico,soltero,M,1,2,4.0,46-55
99,B,Segmento_Medio,61,tecnico_tecnologico,casado,F,1,1,1.0,56-65
100,B,Segmento_Medio,35,tecnico_tecnologico,soltero,M,1,2,2.0,26-35
101,B,Segmento_Medio,48,tecnico_tecnologico,separado,M,1,2,2.0,46-55
102,C,Segmento_Medio,22,tecnico_tecnologico,separado,F,1,1,1.0,18-25
103,C,Segmento_Medio,22,tecnico_tecnologico,casado,F,1,1,3.0,18-25
